quadrant,cnf_percent,lender
true-,0.05975581122329185,all
false+,0.16928856539093684,all
false-,0.077835172575722,all
true+,0.6931204508100494,all
true-,0.08227374719521316,usbank
false+,0.15519820493642483,usbank
false-,0.08975317875841436,usbank
true+,0.6727748691099477,usbank
true-,0.05361429714590558,wells
false+,0.13336889837289945,wells
false-,0.057882101893838356,wells
true+,0.7551347025873566,wells
true-,0.05820610687022901,quicken
false+,0.21135496183206107,quicken
false-,0.11259541984732824,quicken
true+,0.6178435114503816,quicken
